Product_id,Product Name,Price,Rating,Ranking,Ratings_count,Reviews_count,Brand,SK_name
P147,"MX Stainless Steel Electronic Door Lock with Biometric Support (White, Standard Size)",999,3.8,147,11,2,MX," Stainless Steel Electronic Door Lock with Biometric Support (White, Standard Size)"
P148,"TRIANT Smart Home Smart Biometric Cabinet Lock, Square Fingerprint Cabinet Lock, Keyless Hidden File Drawer Wardrobe Lock, Child Safety Electric Fingerprint Lock, DIY Wooden Furniture Privacy Lock",1799,3.9,148,31,10,TRIANT," Smart Home Smart Biometric Cabinet Lock, Square Fingerprint Cabinet Lock, Keyless Hidden File Drawer Wardrobe Lock, Child Safety Electric Fingerprint Lock, DIY Wooden Furniture Privacy Lock"
P149,"Dorphin D2 Smart Lock Digital Door Lock with Video Intercom, Inbuilt Wi-Fi for Remote Unlock Using App, Fingerprint, RFID Card, PIN, Manual Key 3 Years onsite Warranty",16999,5,149,1,1,Dorphin," D2 Smart Lock Digital Door Lock with Video Intercom, Inbuilt Wi-Fi for Remote Unlock Using App, Fingerprint, RFID Card, PIN, Manual Key 3 Years onsite Warranty"
P150,"Dorset Smart Door Lock with Biometric, Pincode, RFID Card, Key Access | Fingerprint Lock for Home Main Door | Free Installation* - Black",14999,0,150,0,0,Dorset," Smart Door Lock with Biometric, Pincode, RFID Card, Key Access | Fingerprint Lock for Home Main Door | Free Installation* - Black"
P151,"Nexmot NX Pro M12 Smart lock for main door with Fingerprint, Mobile app,PIN, OTP, RFID Card and Manual Key, for Wooden Doors (Glossy Black) (Wifi Hub Sold Separately)",5899,2,151,4,3,Nexmot," NX Pro M12 Smart lock for main door with Fingerprint, Mobile app,PIN, OTP, RFID Card and Manual Key, for Wooden Doors (Glossy Black) (Wifi Hub Sold Separately)"
P152,"Yale YDR 414 Smart Rim Lock with Biometric, Pin & Mechanical Key Access, Color- Black(Free Installation)",33415,2.8,152,4,3,Yale," YDR 414 Smart Rim Lock with Biometric, Pin & Mechanical Key Access, Color- Black(Free Installation)"
P153,"Escozor® Metal Smart Biometric Digital Lock for Cabinet,Drawer,Openable Wardrobe (Not for Sliding) Unlock Using 20 Fingerprints & E-Key (PMF01 with Motorized Lock Body) (White)",2999,0,153,0,0,Escozor," Metal Smart Biometric Digital Lock for Cabinet,Drawer,Openable Wardrobe (Not for Sliding) Unlock Using 20 Fingerprints & E-Key (PMF01 with Motorized Lock Body) (White)"
P154,"Golens X91 Wi-Fi Smart Door Lock, Digital Door Lock, Smart Door Knob Remote Control with Smart Life APP Fingerprint, PIN, Card, Manual Key Access min 30-50mm Doors 2 Year Warrnaty (Silver)",7499,1,154,1,1,Golens," X91 Wi-Fi Smart Door Lock, Digital Door Lock, Smart Door Knob Remote Control with Smart Life APP Fingerprint, PIN, Card, Manual Key Access min 30-50mm Doors 2 Year Warrnaty (Silver)"
P155,"HAWKVISION Fingerprint Smart Digital Door Lock with 5-Way Unlocking Smart Door Lock Door Locks for Main Door, Door Lock for Bedroom/Door Lock Handle Lock/Fingerpribnt Lock/Keys Lock",8999,5,155,1,0,HAWKVISION," Fingerprint Smart Digital Door Lock with 5-Way Unlocking Smart Door Lock Door Locks for Main Door, Door Lock for Bedroom/Door Lock Handle Lock/Fingerpribnt Lock/Keys Lock"
P156,"Escozor® MFK02 Smart Digital Keyless Door Lock for Bedroom/Office Unlock Using Fingerprint,Password,Mechanical Keys & Bluetooth Mobile App",6099,5,156,2,2,Escozor," MFK02 Smart Digital Keyless Door Lock for Bedroom/Office Unlock Using Fingerprint,Password,Mechanical Keys & Bluetooth Mobile App"
P157,Ozone Plastic Electronic lock Ozdl-11-Rf-Sl-Std; Rectangular; 24 Months Warranty; Rfid Card Access; Password Access; For Wooden Sliding Doors; Black,12021,5,157,1,0,Ozone, Plastic Electronic lock Ozdl-11-Rf-Sl-Std; Rectangular; 24 Months Warranty; Rfid Card Access; Password Access; For Wooden Sliding Doors; Black
P158,"Golens X83 Automatic Smart Door Lock Digital Door Lock with Wi-Fi Remote Unlock Using Mobile App Fingerprint, RFID Card, PIN, Manual Key for Strong Smart Door Lock (2 Year Warranty)",14199,0,158,0,0,Golens," X83 Automatic Smart Door Lock Digital Door Lock with Wi-Fi Remote Unlock Using Mobile App Fingerprint, RFID Card, PIN, Manual Key for Strong Smart Door Lock (2 Year Warranty)"
P159,HomeMate Smart Door Lock - Black | Remote Control | Fingerprint | Password | RFID Cards | APP Control | WiFi Lock,12239,0,159,0,0,HomeMate, Smart Door Lock - Black | Remote Control | Fingerprint | Password | RFID Cards | APP Control | WiFi Lock
P160,"Dorset Digital Lock for Main Doors - DG 203 Door Lock with Bluetooth Mobile App, Fingerprint, PIN, OTP, RFID Card and Key Access | 2 years Warranty| Door Thickness - 35-90mm (Black)",16199,2,160,2,2,Dorset," Digital Lock for Main Doors - DG 203 Door Lock with Bluetooth Mobile App, Fingerprint, PIN, OTP, RFID Card and Key Access | 2 years Warranty| Door Thickness - 35-90mm (Black)"
P161,"HomeMate Touchscreen WiFi Fingerprint Door Lock, Electronic Keyless Entry Door Mortise Lock with RFID Cards + HomeMate Smart App Remotely and Mechanical Key | Stainless steel | Black",7999,3,161,22,16,HomeMate," Touchscreen WiFi Fingerprint Door Lock, Electronic Keyless Entry Door Mortise Lock with RFID Cards +  Smart App Remotely and Mechanical Key | Stainless steel | Black"
P162,"Denler DL04v2 Stylish Smart Lock, Digital Door Lock 3D Face ID, Anytime Video & Unlock from app Dual Batteries,Inbuilt Wi-Fi Remote Unlock Using App, Fingerprint, RFID Card, PIN, Key 3 Year Warranty",32999,0,162,0,0,Denler," DL04v2 Stylish Smart Lock, Digital Door Lock 3D Face ID, Anytime Video & Unlock from app Dual Batteries,Inbuilt Wi-Fi Remote Unlock Using App, Fingerprint, RFID Card, PIN, Key 3 Year Warranty"
P163,"Fingerprint Door Lock, Foxgard Biometric Door Lock, Electronic Door Knob with Keypad,Smart Door Knob with 100 Fingerprints, 50 Codes, Auto Lock Mode for Home,Bedroom, Office(Round)",6099,4.2,163,609,122,Fingerprint," Door Lock, Foxgard Biometric Door Lock, Electronic Door Knob with Keypad,Smart Door Knob with 100 s, 50 Codes, Auto Lock Mode for Home,Bedroom, Office(Round)"
P164,"Denler DL03 Waterproof Smart Door Lock, Digital Door Lock, Fingerprint Lock, Inbuilt Wi-Fi, Card, PIN, Key 3 Years Warranty Black",13310,3.9,164,7,3,Denler," DL03 Waterproof Smart Door Lock, Digital Door Lock, Fingerprint Lock, Inbuilt Wi-Fi, Card, PIN, Key 3 Years Warranty Black"
P165,Smart iCards; Single Door 12V DC 600lbs Electromagnetic Lock/EM Lock for Access Control with LED (Silver),1249,5,165,2,0,Smart, iCards; Single Door 12V DC 600lbs Electromagnetic Lock/EM Lock for Access Control with LED (Silver)
P166,Golens X8 Smart Door Lock with | Fingerprint | Mobile App | RFID Card | PIN | OTP | Mechanical Key | Automatic Lock Keyless Entry Digital Lock (2 Year Warranty),13499,5,166,3,0,Golens, X8 Smart Door Lock with | Fingerprint | Mobile App | RFID Card | PIN | OTP | Mechanical Key | Automatic Lock Keyless Entry Digital Lock (2 Year Warranty)
P167,"EZVIZ LT70 Smart FingerPrint Door Lock| Four Unlocking Modes|Anti Tamper Alarm|Supports emergency power, Black",11999,0,167,0,0,EZVIZ," LT70 Smart FingerPrint Door Lock| Four Unlocking Modes|Anti Tamper Alarm|Supports emergency power, Black"
P168,"Smart Key Lock Box for Outside, Remote Access Wireless Fingerprint Key Box Operate on iOS/Android APP with WiFi Gateway, Large Capacity Bluetooth Key Safe Box",11998,4.8,168,8,8,Smart," Key Lock Box for Outside, Remote Access Wireless Fingerprint Key Box Operate on iOS/Android APP with WiFi Gateway, Large Capacity Bluetooth Key Safe Box"
P169,"Ozone OZ-FDL-11-R Life Gold Smart Lock with Google Assistant & Alexa Enabled (without Wi-Fi Gateway, Bronze)",18657,3.6,170,4,2,Ozone," OZ-FDL-11-R Life Gold Smart Lock with Google Assistant & Alexa Enabled (without Wi-Fi Gateway, Bronze)"
P170,"Dorset Biometric Door Lock | Smart Locks for Home Main Door with Fingerprint ID, Password & Key Access|Digital Lock for Wooden Doors | [DG603 GM]",20399,5,171,1,1,Dorset," Biometric Door Lock | Smart Locks for Home Main Door with Fingerprint ID, Password & Key Access|Digital Lock for Wooden Doors | [DG603 GM]"
P171,"Putmax Smart Fingerprint Door Lock, Biometric Keyless Entry Door Lock, Deadbolt Door Lock with Keypad, Fingerprint Door Lock with Reversible Handle Locking for Home and Apartment,Black",4499,3.5,172,53,14,Putmax," Smart Fingerprint Door Lock, Biometric Keyless Entry Door Lock, Deadbolt Door Lock with Keypad, Fingerprint Door Lock with Reversible Handle Locking for Home and Apartment,Black"
P172,"Ozone Smart Digital Biometric Door Locks for Main Door (Premium Plus with Wi-Fi, Black)",30591,0,173,0,0,Ozone," Smart Digital Biometric Door Locks for Main Door (Premium Plus with Wi-Fi, Black)"
P173,Foora Bio-46 Smart Lock Fingerprint Biometric Pad Lock 10 Fingerprint User with 2 Admin Waterproof Padlock (Silver Finish),2998,0,174,0,0,Foora, Bio-46 Smart Lock Fingerprint Biometric Pad Lock 10 Fingerprint User with 2 Admin Waterproof Padlock (Silver Finish)
P174,"LAVNA Digital door lock with Fingerprint, Mobile app, PIN, Card and manul key access for UPVC, Aluminium and wooden doors (Slim, Black)",10900,0,175,0,0,LAVNA," Digital door lock with Fingerprint, Mobile app, PIN, Card and manul key access for UPVC, Aluminium and wooden doors (Slim, Black)"
P175,"AUTENS Fingerprint Cabinet Locks, Rechargeable USB Keyless Drawer Door Lock, Smart Electronic Biometric Lock for Child Safety, Hidden File DIY Wooden Furniture Privacy Lock for Home Office (Black)",1799,3.5,176,24,4,AUTENS," Fingerprint Cabinet Locks, Rechargeable USB Keyless Drawer Door Lock, Smart Electronic Biometric Lock for Child Safety, Hidden File DIY Wooden Furniture Privacy Lock for Home Office (Black)"
P176,"Golens Alloy Steel Smart Digital Door Lock With 3D Face Recognition, Camera, Fingerprint, Mobile App, Otp, Pin, Rfid Card And Manual Key Access For Wooden Doors (X41 Black)",17990,4.1,177,39,31,Golens," Alloy Steel Smart Digital Door Lock With 3D Face Recognition, Camera, Fingerprint, Mobile App, Otp, Pin, Rfid Card And Manual Key Access For Wooden Doors (X41 Black)"
P177,Golens X15 Smart Door Lock 5-Way Unlocking | Fingerprint | Pincode| RFID Access Card | WiFi Mobile App | Mechanical Key | OTP Access | 2 Years Brand Warranty | (Grey),7999,3,178,1,1,Golens, X15 Smart Door Lock 5-Way Unlocking | Fingerprint | Pincode| RFID Access Card | WiFi Mobile App | Mechanical Key | OTP Access | 2 Years Brand Warranty | (Grey)
P178,Escozor® Smart Furniture Digital Keyless Lock for Home (GS01 with App),4799,4.1,179,52,22,Escozor, Smart Furniture Digital Keyless Lock for Home (GS01 with App)
P179,"Equal Smart Door Lock A8 Wifi | 6-Way Unlocking | Fingerprint, Pincode, RFID Access Card, Mechanical Key, OTP Access, Mobile App (Wifi) for Wooden Doors | 1 Year Brand Warranty | Gloss Black",7690,4.1,180,7,5,Equal," Smart Door Lock A8 Wifi | 6-Way Unlocking | Fingerprint, Pincode, RFID Access Card, Mechanical Key, OTP Access, Mobile App (Wifi) for Wooden Doors | 1 Year Brand Warranty | Gloss Black"
P180,"Golens Alloy Steel X72 Latest Fully Automatic Smart Digital Door Lock | 5 Ways Unlocking | Wifi | Fingerprint | Mobile App | Nfc Access Card | Pin | Otp | Mechanical Key,Black",11999,4.1,181,39,31,Golens," Alloy Steel X72 Latest Fully Automatic Smart Digital Door Lock | 5 Ways Unlocking | Wifi | Fingerprint | Mobile App | Nfc Access Card | Pin | Otp | Mechanical Key,Black"
P181,"Golens X83 Automatic Smart Door Lock Digital Door Lock with Wi-Fi Remote Unlock Using Mobile App Fingerprint, RFID Card, PIN, Manual Key for Strong Smart Door Lock (2 Year Warranty)",14199,0,182,0,0,Golens," X83 Automatic Smart Door Lock Digital Door Lock with Wi-Fi Remote Unlock Using Mobile App Fingerprint, RFID Card, PIN, Manual Key for Strong Smart Door Lock (2 Year Warranty)"
P182,Dorset Smart Lock for Drawer [Buy 2 Get 1] Fingerprint ID (Up to 20 Unique Access) | Biometric Drawer Lock for Home and Office | Smart Cabinet Lock | Black,9855,0,183,0,0,Dorset, Smart Lock for Drawer [Buy 2 Get 1] Fingerprint ID (Up to 20 Unique Access) | Biometric Drawer Lock for Home and Office | Smart Cabinet Lock | Black
